CapabilityLabel,CapabilityValue,Survey,SurveyUser,CapabilityRank
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Trevor Mccarthy,6
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Trevor Mccarthy,5
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Trevor Mccarthy,4
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Trevor Mccarthy,3
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Trevor Mccarthy,2
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Trevor Mccarthy,1
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Jamie Lopez,6
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Jamie Lopez,5
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Jamie Lopez,4
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Jamie Lopez,3
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Jamie Lopez,2
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Jamie Lopez,1
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Dana Burke,6
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Dana Burke,5
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Dana Burke,4
